frame,fps,mean,std,meandiff,stddiff,spacial0,spacial1,spacial2,spacial3,spacial4,spacial5,spacial6,spacial7,spacial8,spacial9,central0,central1,central2,central3,central4,central5,central6,hu0,hu1,hu2,hu3,hu4,hu5,red0,red1,red2,red3,red4,red5,red6,red7,green0,green1,green2,green3,green4,green5,green6,green7,blue0,blue1,blue2,blue3,blue4,blue5,blue6,blue7,nsift,nsurf
26,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
27,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
28,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
30,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
31,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
32,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
33,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
34,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
35,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
36,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
37,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
38,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
39,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
40,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
41,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
42,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
43,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
44,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
45,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
46,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
47,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
48,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
49,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
50,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
51,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
52,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
53,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
